gsis_id,player_name,player_name_norm,position,draft_year,ff_adp,ff_adp_rank,ff_rankings_note
00-0032144,Melvin Gordon,melvin gordon,RB,2015,37.0,34.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0031549,Nelson Agholor,nelson agholor,WR,2015,68.8,69.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032054,Breshad Perriman,breshad perriman,WR,2015,126.8,124.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032208,Phillip Dorsett,phillip dorsett,WR,2015,176.0,165.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032209,T.J. Yeldon,t j yeldon,RB,2015,56.0,55.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0031934,Devin Smith,devin smith,WR,2015,355.0,380.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032218,Dorial Green-Beckham,dorial green beckham,WR,2015,167.3,162.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032055,Devin Funchess,devin funchess,WR,2015,107.8,105.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032104,Ameer Abdullah,ameer abdullah,RB,2015,49.0,44.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0031558,Maxx Williams,maxx williams,TE,2015,238.7,232.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032211,Tyler Lockett,tyler lockett,WR,2015,214.0,184.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0031560,Jaelen Strong,jaelen strong,WR,2015,234.0,230.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
00-0032058,Tevin Coleman,tevin coleman,RB,2015,77.5,76.0,FantasyPros Overall ADP for rookie season 2015 (match_score=100.0)
