season,overall_pick,round,round_pick,team_id,espn_player_id,gsis_id,player_name,position,pro_team,is_keeper,bid_amount
2025,3,1,3,5,4429795,00-0039139,Jahmyr Gibbs,RB,DET,False,0
2025,4,1,4,3,3929630,00-0034844,Saquon Barkley,RB,PHI,False,0
2025,5,1,5,2,4241389,00-0036358,CeeDee Lamb,WR,DAL,False,0
2025,6,1,6,7,4262921,00-0036322,Justin Jefferson,WR,MIN,False,0
2025,7,1,7,6,3117251,00-0033280,Christian McCaffrey,RB,SF,False,0
2025,8,1,8,10,4426515,00-0039075,Puka Nacua,WR,LA,False,0
2025,9,1,9,9,4595348,00-0039337,Malik Nabers,WR,NYG,False,0
2025,10,1,10,8,4429160,00-0039040,De'Von Achane,RB,MIA,False,0
2025,11,2,1,8,4258173,00-0036554,Nico Collins,WR,HOU,False,0
2025,12,2,2,9,4374302,00-0036963,Amon-Ra St. Brown,WR,DET,False,0
2025,13,2,3,10,4242335,00-0036223,Jonathan Taylor,RB,IND,False,0
2025,14,2,4,6,4432773,00-0039893,Brian Thomas Jr.,WR,JAX,False,0
2025,15,2,5,7,4890973,00-0040122,Ashton Jeanty,RB,LV,False,0
2025,16,2,6,2,4047365,00-0035700,Josh Jacobs,RB,GB,False,0
2025,17,2,7,3,4596448,00-0039361,Bucky Irving,RB,TB,False,0
2025,18,2,8,5,4426502,00-0037238,Drake London,WR,ATL,False,0
2025,19,2,9,4,4047646,00-0035676,A.J. Brown,WR,PHI,False,0
2025,20,2,10,1,3043078,00-0032764,Derrick Henry,RB,BAL,False,0
2025,21,3,1,1,4430737,00-0037840,Kyren Williams,RB,LA,False,0
2025,22,3,2,4,4432665,00-0039338,Brock Bowers,TE,LV,False,0
2025,23,3,3,5,4361307,00-0037744,Trey McBride,TE,ARI,False,0
2025,24,3,4,3,4239993,00-0036410,Tee Higgins,WR,CIN,False,0
2025,25,3,5,2,4362238,00-0038597,Chase Brown,RB,CIN,False,0
2025,26,3,6,7,3918298,00-0034857,Josh Allen,QB,BUF,False,0
2025,27,3,7,6,3916387,00-0034796,Lamar Jackson,QB,BAL,False,0
2025,28,3,8,10,4612826,00-0039915,Ladd McConkey,WR,LAC,False,0
