gsis_id,player_name,position,draft_year,first_stat_season,ppr_y1,ppr_y2,ppr_y3,dynasty_seasons_complete,dynasty_ppr_y1_y3_total,dynasty_ppr_y1_y3_avg_season,dynasty_ppr_y1_y3_avg_game,y1_rank_pct_pos,y2_rank_pct_pos,y3_rank_pct_pos,y3_vs_y1_delta,y3_vs_y2_delta,slow_start,strong_y3,late_bloomer_y3,slow_y1_y2_strong_y3,trajectory_archetype
00-0032951,Laquon Treadwell,WR,2016,2016.0,2.5,40.0,71.2,1,113.7,37.9,3.79,6.25,31.25,43.75,68.7,31.200000000000003,True,False,False,False,steady
00-0033108,Paxton Lynch,QB,2016,2016.0,28.380000000000003,14.8,,0,,,,,,,,,False,False,False,False,limited_sample
00-0033090,Hunter Henry,TE,2016,2016.0,129.8,126.9,,0,,,,,,,,,False,False,False,False,limited_sample
00-0032385,Sterling Shepard,WR,2016,2016.0,184.4,144.5,182.5,1,511.4,170.46666666666667,11.893023255813953,87.5,87.5,81.25,-1.9000000000000057,38.0,False,True,False,False,steady
00-0032764,Derrick Henry,RB,2016,2016.0,105.7,135.0,201.35999999999999,1,442.05999999999995,147.35333333333332,9.61,78.57142857142857,71.42857142857143,85.71428571428571,95.65999999999998,66.35999999999999,False,True,False,False,steady
00-0032765,Michael Thomas,WR,2016,2016.0,255.70000000000002,258.5,315.5,1,829.7,276.56666666666666,17.653191489361703,100.0,100.0,93.75,59.79999999999998,57.0,False,True,False,False,steady
00-0032953,Christian Hackenberg,QB,2016,,,,,0,,,,,,,,,False,False,False,False,limited_sample
00-0033009,Tyler Boyd,WR,2016,2016.0,124.1,56.5,221.1,1,401.7,133.9,10.0425,75.0,43.75,87.5,97.0,164.6,False,True,False,False,steady
00-0033118,Kenyan Drake,RB,2016,2016.0,49.5,142.3,206.20000000000002,1,398.0,132.66666666666666,9.255813953488373,50.0,78.57142857142857,92.85714285714286,156.70000000000002,63.900000000000006,False,True,False,False,steady
00-0032392,Austin Hooper,TE,2016,2016.0,64.1,119.6,163.0,1,346.7,115.56666666666666,8.062790697674417,100.0,100.0,100.0,98.9,43.400000000000006,False,True,False,False,steady
00-0033069,Braxton Miller,WR,2016,2016.0,30.9,41.3,,0,,,,,,,,,False,False,False,False,limited_sample
